what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1433818312498
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1433818312502
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1433818312506
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1433818312506
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1433818312507
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1433818312507
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1433818312509
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1433818312509
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1433818312510
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1433818312510
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1433818312510
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1433818312510
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1433818312511
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1433818312511
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1433818312512
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1433818312512
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1433818312513
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1433818312532
os,sysinfo,,,"win32",1433818312535
arch,sysinfo,,,"x86_64",1433818312535
ws,sysinfo,,,"win32",1433818312536
locale,sysinfo,,,"en_IN",1433818312536
processors,sysinfo,,,"4",1433818312536
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1433818312536
java.runtime.version,sysinfo,,,"1.8.0_31-b13",1433818312536
java.specification.name,sysinfo,,,"Java Platform API Specification",1433818312536
java.specification.vendor,sysinfo,,,"Oracle Corporation",1433818312536
java.specification.version,sysinfo,,,"1.8",1433818312536
java.vendor,sysinfo,,,"Oracle Corporation",1433818312536
java.version,sysinfo,,,"1.8.0_31",1433818312536
java.vm.info,sysinfo,,,"mixed mode",1433818312536
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1433818312536
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1433818312536
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1433818312536
java.vm.specification.version,sysinfo,,,"1.8",1433818312536
java.vm.vendor,sysinfo,,,"Oracle Corporation",1433818312536
java.vm.version,sysinfo,,,"25.31-b07",1433818312536
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1433818312768
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1433818312772
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1433818312779
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433818313973
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1433818316065
started,bundle,org.eclipse.wst.server.http.core,1.0.200.v20090429,"org.eclipse.wst.server.http.core",1433818318705
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1433818318747
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1433818318824
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433818318828
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1433818319432
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1433818321425
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433818321856
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433818322023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433818324228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433818324936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433818531542
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1433818533053
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433818533054
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433818535433
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1433818535520
error,log,,,"Core exception while retrieving the content description",1433818538112
error,log,,,"Core exception while retrieving the content description",1433818538114
error,log,,,"Core exception while retrieving the content description",1433818538117
error,log,,,"Core exception while retrieving the content description",1433818538119
error,log,,,"Core exception while retrieving the content description",1433818538122
error,log,,,"Core exception while retrieving the content description",1433818538124
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1433818540063
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1433818540296
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433818540538
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1433818540667
error,log,,,"Required attribute ""href"" missing from ""topic"" element in ""/org.eclipse.wst.jsdt.doc/ui-contexts.xml"" (skipping element)",1433818542261
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433818542282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433818565283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433818633596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433818642235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433818700259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433818704074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433818708873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433818721618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433818814051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433818841001
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433818842021
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1433818842175
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433818843466
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433818844410
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433818846728
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433818846871
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433818846911
error,log,,,"Core exception while retrieving the content description",1433818847294
error,log,,,"Core exception while retrieving the content description",1433818847307
error,log,,,"Core exception while retrieving the content description",1433818847309
error,log,,,"Core exception while retrieving the content description",1433818847311
error,log,,,"Core exception while retrieving the content description",1433818847312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433818848158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433818848881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433818891829
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433818893235
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433818893235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433818916913
