what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1433912282961
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1433912284872
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433912285236
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433912285298
error,log,,,"Core exception while retrieving the content description",1433912285668
error,log,,,"Core exception while retrieving the content description",1433912285670
error,log,,,"Core exception while retrieving the content description",1433912285698
error,log,,,"Core exception while retrieving the content description",1433912285700
error,log,,,"Core exception while retrieving the content description",1433912285701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433912287434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433912288128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433912321755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433912323212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433912323467
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433912325320
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433912325320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433912344555
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433912348286
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433912349817
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433912349976
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433912350007
error,log,,,"Core exception while retrieving the content description",1433912350438
error,log,,,"Core exception while retrieving the content description",1433912350440
error,log,,,"Core exception while retrieving the content description",1433912350442
error,log,,,"Core exception while retrieving the content description",1433912350443
error,log,,,"Core exception while retrieving the content description",1433912350445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433912351462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433912352377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433912371274
