what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1433917275072
error,log,,,"Core exception while retrieving the content description",1433917275073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433917275784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433917276441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433917317342
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433917318780
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433917318780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433917361973
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433917363890
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433917365133
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433917365280
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433917365306
error,log,,,"Core exception while retrieving the content description",1433917365811
error,log,,,"Core exception while retrieving the content description",1433917365813
error,log,,,"Core exception while retrieving the content description",1433917365815
error,log,,,"Core exception while retrieving the content description",1433917365816
error,log,,,"Core exception while retrieving the content description",1433917365818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433917366414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433917366953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433917383900
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433917385412
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433917385412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433917423897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433917461988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433917472383
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433917473155
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433917475092
