what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433824640816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433824641494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433824718386
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433824719308
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433824719309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433824731948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433824738986
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433824743300
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433824744776
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433824744910
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433824744944
error,log,,,"Core exception while retrieving the content description",1433824745336
error,log,,,"Core exception while retrieving the content description",1433824745337
error,log,,,"Core exception while retrieving the content description",1433824745339
error,log,,,"Core exception while retrieving the content description",1433824745341
error,log,,,"Core exception while retrieving the content description",1433824745342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433824746051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433824746555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433824766436
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433824767584
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433824767585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433824785340
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433824787718
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433824789055
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433824789265
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433824789302
error,log,,,"Core exception while retrieving the content description",1433824789671
error,log,,,"Core exception while retrieving the content description",1433824789672
error,log,,,"Core exception while retrieving the content description",1433824789674
error,log,,,"Core exception while retrieving the content description",1433824789675
error,log,,,"Core exception while retrieving the content description",1433824789677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433824790405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433824791195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433824989019
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433824990174
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433824990174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825065777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825099202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825102184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825103692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825113803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825119362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825120229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825176688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825188257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433825192279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433825205240
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433825207406
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433825208516
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433825208756
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433825208790
error,log,,,"Core exception while retrieving the content description",1433825209127
error,log,,,"Core exception while retrieving the content description",1433825209128
error,log,,,"Core exception while retrieving the content description",1433825209129
error,log,,,"Core exception while retrieving the content description",1433825209130
error,log,,,"Core exception while retrieving the content description",1433825209132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433825209480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825210131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825238408
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433825239914
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433825239914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433825245462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433825247766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433825251848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433825259793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433825261800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433825264886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433825280772
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433825285469
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433825287266
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433825287407
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433825287440
error,log,,,"Core exception while retrieving the content description",1433825287912
error,log,,,"Core exception while retrieving the content description",1433825287913
error,log,,,"Core exception while retrieving the content description",1433825287915
error,log,,,"Core exception while retrieving the content description",1433825287916
error,log,,,"Core exception while retrieving the content description",1433825287918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433825288701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825291367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825302751
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433825303900
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433825303900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433825322677
error,log,,,"Unexpected runtime error while computing a text hover",1433825328103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825330712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825331314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433825331987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433825335094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433825336865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433825341857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433825342787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433825346822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433825349420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433825356475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433825359827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433825364781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433825366256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433825371838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433825373753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433825377309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433825379080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433825380252
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433825381982
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433825383457
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433825383577
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433825383600
error,log,,,"Core exception while retrieving the content description",1433825384119
error,log,,,"Core exception while retrieving the content description",1433825384120
error,log,,,"Core exception while retrieving the content description",1433825384121
error,log,,,"Core exception while retrieving the content description",1433825384122
error,log,,,"Core exception while retrieving the content description",1433825384123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433825384821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825385409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825489429
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433825491203
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433825491203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433825514717
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433825515932
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433825517648
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433825517806
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433825517828
error,log,,,"Core exception while retrieving the content description",1433825518206
error,log,,,"Core exception while retrieving the content description",1433825518207
error,log,,,"Core exception while retrieving the content description",1433825518209
error,log,,,"Core exception while retrieving the content description",1433825518210
error,log,,,"Core exception while retrieving the content description",1433825518211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433825518995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825519596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433825536789
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433825537900
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433825537900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433825548567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433825549123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433825549826
