what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1433918801754
error,log,,,"Core exception while retrieving the content description",1433918801755
error,log,,,"Core exception while retrieving the content description",1433918801756
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1433918822070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433918823150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433918824323
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433918827337
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433918829043
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433918829169
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433918829195
error,log,,,"Core exception while retrieving the content description",1433918829558
error,log,,,"Core exception while retrieving the content description",1433918829559
error,log,,,"Core exception while retrieving the content description",1433918829561
error,log,,,"Core exception while retrieving the content description",1433918829562
error,log,,,"Core exception while retrieving the content description",1433918829563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1433918831022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433918831259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433918832231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433918856656
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433918858122
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433918858122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433918862529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433918863606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433918863956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433918864244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433918864536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433918864867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433918865173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433918866290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433918866982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433918867413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433918868057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433918869755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1433918871852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433918872502
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433918878151
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433918879403
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433918879522
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433918879546
error,log,,,"Core exception while retrieving the content description",1433918879965
error,log,,,"Core exception while retrieving the content description",1433918879966
error,log,,,"Core exception while retrieving the content description",1433918879968
error,log,,,"Core exception while retrieving the content description",1433918879969
error,log,,,"Core exception while retrieving the content description",1433918879971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433918880760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433918881430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433918899368
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433918900497
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433918900497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433918965919
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433918967334
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433918968930
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433918969075
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433918969098
error,log,,,"Core exception while retrieving the content description",1433918969438
error,log,,,"Core exception while retrieving the content description",1433918969439
error,log,,,"Core exception while retrieving the content description",1433918969441
error,log,,,"Core exception while retrieving the content description",1433918969442
error,log,,,"Core exception while retrieving the content description",1433918969443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433918970307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433918970878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433918991877
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433918995384
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433918997629
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433918997664
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433918997664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433919001673
error,log,,,"Unexpected runtime error while computing a text hover",1433919013823
error,log,,,"Core exception while retrieving the content description",1433919017909
error,log,,,"Core exception while retrieving the content description",1433919017911
error,log,,,"Core exception while retrieving the content description",1433919017913
error,log,,,"Core exception while retrieving the content description",1433919017914
error,log,,,"Core exception while retrieving the content description",1433919017916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433919020714
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433919023102
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433919024721
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433919024871
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433919024896
error,log,,,"Core exception while retrieving the content description",1433919025328
error,log,,,"Core exception while retrieving the content description",1433919025329
error,log,,,"Core exception while retrieving the content description",1433919025331
error,log,,,"Core exception while retrieving the content description",1433919025332
