what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1433821270106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433821281764
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433821283587
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433821285311
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821285462
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821285509
error,log,,,"Core exception while retrieving the content description",1433821285887
error,log,,,"Core exception while retrieving the content description",1433821285888
error,log,,,"Core exception while retrieving the content description",1433821285890
error,log,,,"Core exception while retrieving the content description",1433821285891
error,log,,,"Core exception while retrieving the content description",1433821285893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433821286927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433821287625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433821307293
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433821308440
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821308440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433821341578
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433821342649
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433821344543
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821344756
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821344788
error,log,,,"Core exception while retrieving the content description",1433821345156
error,log,,,"Core exception while retrieving the content description",1433821345158
error,log,,,"Core exception while retrieving the content description",1433821345161
error,log,,,"Core exception while retrieving the content description",1433821345162
error,log,,,"Core exception while retrieving the content description",1433821345164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433821345966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433821346498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433821360068
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433821361278
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821361278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433821373749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433821389065
error,log,,,"Core exception while retrieving the content description",1433821390565
error,log,,,"Core exception while retrieving the content description",1433821390567
error,log,,,"Core exception while retrieving the content description",1433821390569
error,log,,,"Core exception while retrieving the content description",1433821390571
error,log,,,"Core exception while retrieving the content description",1433821390574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1433821392509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433821394605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433821395955
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433821397162
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433821398863
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821398998
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821399029
error,log,,,"Core exception while retrieving the content description",1433821399473
error,log,,,"Core exception while retrieving the content description",1433821399474
error,log,,,"Core exception while retrieving the content description",1433821399477
error,log,,,"Core exception while retrieving the content description",1433821399478
error,log,,,"Core exception while retrieving the content description",1433821399479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433821400345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433821400785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433821411082
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433821412174
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821412174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433821419634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433821430399
error,log,,,"Core exception while retrieving the content description",1433821446609
error,log,,,"Core exception while retrieving the content description",1433821446626
error,log,,,"Core exception while retrieving the content description",1433821446629
error,log,,,"Core exception while retrieving the content description",1433821446631
error,log,,,"Core exception while retrieving the content description",1433821446633
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433821463647
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433821465246
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821465380
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821465412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433821467478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433821468035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433821488049
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433821490287
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821490288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433821498050
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433821499536
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433821501463
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821501645
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821501679
error,log,,,"Core exception while retrieving the content description",1433821502075
error,log,,,"Core exception while retrieving the content description",1433821502077
error,log,,,"Core exception while retrieving the content description",1433821502079
error,log,,,"Core exception while retrieving the content description",1433821502081
error,log,,,"Core exception while retrieving the content description",1433821502082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433821502793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433821503231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433821514528
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433821516196
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821516196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433821535683
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433821538928
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433821540334
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821540469
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821540506
error,log,,,"Core exception while retrieving the content description",1433821540925
error,log,,,"Core exception while retrieving the content description",1433821540927
error,log,,,"Core exception while retrieving the content description",1433821540928
error,log,,,"Core exception while retrieving the content description",1433821540930
error,log,,,"Core exception while retrieving the content description",1433821540931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433821542626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433821543276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433821565704
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433821567073
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433821567073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433821597373
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433821599419
