what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433823554439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433823579091
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433823580702
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433823582343
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433823582486
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433823582521
error,log,,,"Core exception while retrieving the content description",1433823582911
error,log,,,"Core exception while retrieving the content description",1433823582912
error,log,,,"Core exception while retrieving the content description",1433823582914
error,log,,,"Core exception while retrieving the content description",1433823582916
error,log,,,"Core exception while retrieving the content description",1433823582918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433823583976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433823584609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433823602221
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433823603636
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433823603636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433823634122
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433823637437
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433823640415
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433823640632
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433823640663
error,log,,,"Core exception while retrieving the content description",1433823640985
error,log,,,"Core exception while retrieving the content description",1433823640986
error,log,,,"Core exception while retrieving the content description",1433823640989
error,log,,,"Core exception while retrieving the content description",1433823640990
error,log,,,"Core exception while retrieving the content description",1433823640991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433823642064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433823642825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433823670429
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433823671527
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433823671527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433823683608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433823689051
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433823690690
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433823692358
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433823692549
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433823692591
error,log,,,"Core exception while retrieving the content description",1433823692976
error,log,,,"Core exception while retrieving the content description",1433823692977
error,log,,,"Core exception while retrieving the content description",1433823692978
error,log,,,"Core exception while retrieving the content description",1433823692980
error,log,,,"Core exception while retrieving the content description",1433823692981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433823693650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433823694295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433823717643
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433823718823
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433823718823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433823724621
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433823725783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433823726563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433823727767
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433823729829
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433823729985
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433823730020
error,log,,,"Core exception while retrieving the content description",1433823730392
