what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822215842
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822215873
error,log,,,"Core exception while retrieving the content description",1433822216409
error,log,,,"Core exception while retrieving the content description",1433822216411
error,log,,,"Core exception while retrieving the content description",1433822216412
error,log,,,"Core exception while retrieving the content description",1433822216413
error,log,,,"Core exception while retrieving the content description",1433822216415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433822217044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433822217708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433822234335
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433822235655
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822235655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433822288275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433822290735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433822291208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433822293095
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433822295138
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433822297032
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822297267
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822297301
error,log,,,"Core exception while retrieving the content description",1433822297645
error,log,,,"Core exception while retrieving the content description",1433822297647
error,log,,,"Core exception while retrieving the content description",1433822297649
error,log,,,"Core exception while retrieving the content description",1433822297650
error,log,,,"Core exception while retrieving the content description",1433822297651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433822299575
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1433822302377
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433822303704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433822315590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1433822316718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433822321594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433822324028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433822324472
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433822326728
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433822328312
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822328506
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822328547
error,log,,,"Core exception while retrieving the content description",1433822328928
error,log,,,"Core exception while retrieving the content description",1433822328930
error,log,,,"Core exception while retrieving the content description",1433822328931
error,log,,,"Core exception while retrieving the content description",1433822328933
error,log,,,"Core exception while retrieving the content description",1433822328934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433822329758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433822330733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433822350428
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433822351467
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822351467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433822366390
error,log,,,"Core exception while retrieving the content description",1433822382554
error,log,,,"Core exception while retrieving the content description",1433822382555
error,log,,,"Core exception while retrieving the content description",1433822382558
error,log,,,"Core exception while retrieving the content description",1433822382559
error,log,,,"Core exception while retrieving the content description",1433822382561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433822440791
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433822441718
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433822443287
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822443542
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822443587
error,log,,,"Core exception while retrieving the content description",1433822443936
error,log,,,"Core exception while retrieving the content description",1433822443938
error,log,,,"Core exception while retrieving the content description",1433822443942
error,log,,,"Core exception while retrieving the content description",1433822443943
error,log,,,"Core exception while retrieving the content description",1433822443944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433822444936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433822445548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433822456625
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433822458093
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822458093
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822458697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433822556437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433822569836
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433822573257
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433822574872
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822575043
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822575074
error,log,,,"Core exception while retrieving the content description",1433822575502
error,log,,,"Core exception while retrieving the content description",1433822575504
error,log,,,"Core exception while retrieving the content description",1433822575507
error,log,,,"Core exception while retrieving the content description",1433822575508
error,log,,,"Core exception while retrieving the content description",1433822575510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433822576263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433822576801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433822593571
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433822594909
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433822594909
