what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433914618707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433914621109
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1433914623553
closed,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1433914623553
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433914625358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433914670175
error,log,,,"Core exception while retrieving the content description",1433914686224
error,log,,,"Core exception while retrieving the content description",1433914686225
error,log,,,"Core exception while retrieving the content description",1433914686227
error,log,,,"Core exception while retrieving the content description",1433914686228
error,log,,,"Core exception while retrieving the content description",1433914686229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433914711058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433914717211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433914743242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433914744710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433914745693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433914746149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433914767987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433914783210
error,log,,,"Core exception while retrieving the content description",1433914784349
error,log,,,"Core exception while retrieving the content description",1433914784350
error,log,,,"Core exception while retrieving the content description",1433914784352
error,log,,,"Core exception while retrieving the content description",1433914784353
error,log,,,"Core exception while retrieving the content description",1433914784362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433914790250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433914798912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433914802741
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433914804659
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433914805917
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433914806838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433914808613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433914809728
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1433914812286
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433914812467
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433914812491
error,log,,,"Core exception while retrieving the content description",1433914812858
error,log,,,"Core exception while retrieving the content description",1433914812859
error,log,,,"Core exception while retrieving the content description",1433914812861
error,log,,,"Core exception while retrieving the content description",1433914812863
error,log,,,"Core exception while retrieving the content description",1433914812864
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433914818008
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1433914818009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433914819434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433914862802
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1433914864546
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1433914864546
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1433914867695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433914868981
